PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DRYT LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
4403533,2021-11-12T01:10:00Z,45.3341,-58.9769,9.9,-34.5,0,0111147
4403533,2021-11-12T01:20:00Z,45.3322,-58.9771,9.9,-34.5,0,0111147
4403533,2021-11-12T01:30:00Z,45.3306,-58.9768,9.8,-34.5,0,0111147
4403533,2021-11-12T01:40:00Z,45.3289,-58.9767,9.8,-34.5,0,0111147
4403533,2021-11-12T01:50:00Z,45.3270,-58.9768,9.8,-34.5,0,0111147
4403533,2021-11-12T02:00:00Z,45.3250,-58.9769,9.8,-34.5,0,0111147
4403533,2021-11-12T02:10:00Z,45.3230,-58.9773,9.8,-34.5,0,0111147
4403533,2021-11-12T02:20:00Z,45.3210,-58.9776,9.8,-34.5,0,0111147
4403533,2021-11-12T02:30:00Z,45.3189,-58.9780,9.8,-34.5,0,0111147
4403533,2021-11-12T02:40:00Z,45.3166,-58.9786,9.8,-34.5,0,0111147
4403533,2021-11-12T02:50:00Z,45.3149,-58.9788,9.8,-34.5,0,0111147
4403533,2021-11-12T03:00:00Z,45.3128,-58.9793,9.8,-34.5,0,0111147
4403533,2021-11-12T03:10:00Z,45.3108,-58.9795,9.8,-34.5,0,0111147
4403533,2021-11-12T03:20:00Z,45.3087,-58.9800,9.8,-34.5,0,0111147
4403533,2021-11-12T03:30:00Z,45.3066,-58.9805,9.8,-34.5,0,0111147
4403533,2021-11-12T03:40:00Z,45.3045,-58.9811,9.8,-34.5,0,0111147
4403533,2021-11-12T03:50:00Z,45.3023,-58.9820,9.8,-34.5,0,0111147
4403533,2021-11-12T04:00:00Z,45.3001,-58.9827,9.8,-34.5,0,0111147
4403533,2021-11-12T04:10:00Z,45.2980,-58.9835,9.8,-34.5,0,0111147
4403533,2021-11-12T04:20:00Z,45.2960,-58.9840,9.8,-34.5,0,0111147
4403533,2021-11-12T04:30:00Z,45.2940,-58.9844,9.8,-34.5,0,0111147
4403533,2021-11-12T04:40:00Z,45.2919,-58.9851,9.8,-34.5,0,0111147
4403533,2021-11-12T04:50:00Z,45.2899,-58.9859,9.8,-34.5,0,0111147
4403533,2021-11-12T05:00:00Z,45.2876,-58.9870,9.8,-34.5,0,0111147
4403533,2021-11-12T05:10:00Z,45.2857,-58.9880,9.8,-34.5,0,0111147
4403533,2021-11-12T05:20:00Z,45.2837,-58.9890,9.8,-34.5,0,0111147
4403533,2021-11-12T05:30:00Z,45.2819,-58.9898,9.8,-34.5,0,0111147
4403533,2021-11-12T05:40:00Z,45.2801,-58.9904,9.8,-34.5,0,0111147
4403533,2021-11-12T05:50:00Z,45.2782,-58.9915,9.7,-34.5,0,0111147
4403533,2021-11-12T06:00:00Z,45.2762,-58.9924,9.8,-34.5,0,0111147
4403533,2021-11-12T06:10:00Z,45.2740,-58.9934,9.7,-34.5,0,0111147
4403533,2021-11-12T06:20:00Z,45.2721,-58.9944,9.7,-34.5,0,0111147
4403533,2021-11-12T06:30:00Z,45.2701,-58.9956,9.7,-34.5,0,0111147
4403533,2021-11-12T06:40:00Z,45.2683,-58.9964,9.7,-34.5,0,0111147
4403533,2021-11-12T06:50:00Z,45.2663,-58.9971,9.7,-34.5,0,0111147
4403533,2021-11-12T07:00:00Z,45.2645,-58.9982,9.7,-34.5,0,0111147
4403533,2021-11-12T07:10:00Z,45.2626,-58.9993,9.7,-34.5,0,0111147
4403533,2021-11-12T07:20:00Z,45.2610,-59.0001,9.7,-34.5,0,0111147
4403533,2021-11-12T07:30:00Z,45.2591,-59.0015,9.7,-34.5,0,0111147
4403533,2021-11-12T07:40:00Z,45.2575,-59.0025,9.7,-34.5,0,0111147
4403533,2021-11-12T07:50:00Z,45.2559,-59.0034,9.7,-34.5,0,0111147
4403533,2021-11-12T08:00:00Z,45.2540,-59.0048,9.7,-34.5,0,0111147
4403533,2021-11-12T08:10:00Z,45.2524,-59.0059,9.7,-34.5,0,0111147
4403533,2021-11-12T08:20:00Z,45.2508,-59.0071,9.7,-34.5,0,0111147
4403533,2021-11-12T08:30:00Z,45.2491,-59.0087,9.7,-34.5,0,0111147
4403533,2021-11-12T08:40:00Z,45.2474,-59.0104,9.7,-34.5,0,0111147
4403533,2021-11-12T08:50:00Z,45.2458,-59.0118,9.7,-34.5,0,0111147
4403533,2021-11-12T09:00:00Z,45.2440,-59.0136,9.7,-34.5,0,0111147
4403533,2021-11-12T09:10:00Z,45.2425,-59.0152,9.7,-34.5,0,0111147
4403533,2021-11-12T09:20:00Z,45.2408,-59.0171,9.7,-34.5,0,0111147
4403533,2021-11-12T09:30:00Z,45.2391,-59.0188,9.7,-34.5,0,0111147
4403533,2021-11-12T09:40:00Z,45.2376,-59.0204,9.7,-34.5,0,0111147
4403533,2021-11-12T09:50:00Z,45.2360,-59.0222,9.7,-34.5,0,0111147
4403533,2021-11-12T10:00:00Z,45.2345,-59.0238,9.7,-34.5,0,0111147
4403533,2021-11-12T10:10:00Z,45.2331,-59.0254,9.7,-34.5,0,0111147
4403533,2021-11-12T10:20:00Z,45.2316,-59.0271,9.7,-34.5,0,0111147
4403533,2021-11-12T10:30:00Z,45.2303,-59.0290,9.7,-34.5,0,0111147
4403533,2021-11-12T10:40:00Z,45.2291,-59.0307,9.7,-34.5,0,0111147
4403533,2021-11-12T10:50:00Z,45.2278,-59.0327,9.7,-34.5,0,0111147
4403533,2021-11-12T11:00:00Z,45.2267,-59.0345,9.7,-34.5,0,0111147
4403533,2021-11-12T11:10:00Z,45.2256,-59.0360,9.7,-34.5,0,0111147
