PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
4402655,2021-08-13T15:49:00Z,42.2896,-62.0038,25.94,1017.9,0,,,,,,,,,,,01111179999999999
4402655,2021-08-13T16:00:00Z,42.2900,-62.0040,,,0,4.7,6,0.03,0.05,24.68,0.5,213,15,1.371,-0.674,01119971111171111
4402655,2021-08-13T16:00:00Z,42.2860,-61.9926,25.48,1017.8,0,,,,,,,,,,,01111179999999999
4402655,2021-08-13T17:00:00Z,42.2900,-61.9810,,,0,4.4,4.5,0.04,0.06,23.88,0.5,213,15,0.322,0.067,01119971111171111
4402655,2021-08-13T17:00:00Z,42.2928,-61.9716,23.87,1018.3,0,,,,,,,,,,,01111179999999999
4402655,2021-08-13T18:00:00Z,42.2920,-61.9670,,,0,4.4,4.5,0.04,0.06,23.95,0.5,213,15,0.091,0.062,01119971111171111
4402655,2021-08-13T18:00:00Z,42.2924,-61.9682,23.89,1018.4,0,,,,,,,,,,,01111179999999999
4402655,2021-08-13T19:00:00Z,42.2930,-61.9650,,,0,4.4,4.5,0.04,0.06,24.02,0.5,213,15,0.069,0.062,01119971111171111
4402655,2021-08-13T19:00:00Z,42.2938,-61.9636,24.01,1018.3,0,,,,,,,,,,,01111179999999999
4402655,2021-08-13T20:00:00Z,42.2970,-61.9620,,,0,4.6,4.6,0.04,0.05,24.05,0.5,213,15,0.046,0.12,01119971111171111
4402655,2021-08-13T20:00:00Z,42.2962,-61.9624,24.04,1018.3,0,,,,,,,,,,,01111179999999999
4402655,2021-08-13T21:00:00Z,42.3040,-61.9590,,,0,4.6,4.6,0.04,0.05,24.06,0.5,213,15,0.092,0.264,01119971111171111
4402655,2021-08-13T21:00:00Z,42.3022,-61.9598,24.06,1018.5,0,,,,,,,,,,,01111179999999999
4402655,2021-08-13T22:00:00Z,42.3130,-61.9530,,,0,4.6,4.6,0.04,0.05,24.02,0.5,213,15,0.125,0.34,01119971111171111
4402655,2021-08-13T22:00:00Z,42.3130,-61.9544,24.05,1018.2,0,,,,,,,,,,,01111179999999999
4402655,2021-08-13T23:00:00Z,42.3230,-61.9480,,,0,3.8,4.3,0.04,0.04,23.94,0.5,213,15,0.137,0.309,01119971111171111
4402655,2021-08-13T23:00:00Z,42.3240,-61.9492,23.98,1018.7,0,,,,,,,,,,,01111179999999999
4402655,2021-08-14T00:00:00Z,42.3320,-61.9410,,,0,3.8,4.3,0.04,0.04,23.89,0.5,213,15,0.182,0.248,01119971111171111
