PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
4402659,2020-12-11T21:00:00Z,44.1510,-56.8320,,,0,9.8,-6.8,0.36,-0.31,11.39,0.5,313,15,-0.122,0.124,01119971111171111
4402659,2020-12-11T21:00:00Z,44.1510,-56.8318,11.41,1019.6,0,,,,,,,,,,,01111079999999999
4402659,2020-12-11T22:00:00Z,44.1540,-56.8370,,,0,9.8,-6.8,0.36,-0.31,11.35,0.5,313,15,-0.1,0.139,01119971111171111
4402659,2020-12-11T22:00:00Z,44.1552,-56.8372,11.37,1020.5,0,,,,,,,,,,,01111079999999999
4402659,2020-12-11T23:00:00Z,44.1600,-56.8400,,,0,9.1,-4.8,0.31,-0.21,11.32,0.5,313,15,-0.056,0.154,01119971111171111
4402659,2020-12-11T23:00:00Z,44.1596,-56.8410,11.32,1020.9,0,,,,,,,,,,,01111079999999999
4402659,2020-12-12T00:00:00Z,44.1650,-56.8410,,,0,9.1,-4.8,0.31,-0.21,11.34,0.5,313,15,0.022,0.139,01119971111171111
4402659,2020-12-12T00:00:00Z,44.1650,-56.8424,11.32,1021.7,0,,,,,,,,,,,01111079999999999
4402659,2020-12-12T01:00:00Z,44.1680,-56.8380,,,0,9.1,-4.8,0.31,-0.22,11.36,0.5,313,15,0.089,0.108,01119971111171111
4402659,2020-12-12T01:00:00Z,44.1690,-56.8392,11.36,1022.5,0,,,,,,,,,,,01111079999999999
4402659,2020-12-12T02:00:00Z,44.1720,-56.8330,,,0,9,-2.5,0.23,-0.12,11.34,0.5,313,15,0.133,0.077,01119971111171111
4402659,2020-12-12T02:00:00Z,44.1720,-56.8336,11.36,1022.8,0,,,,,,,,,,,01111079999999999
