PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DRYT LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
4403532,2021-11-18T17:00:00Z,45.3348,-58.0690,7.8,-34.3,0,0111147
4403532,2021-11-18T18:00:00Z,45.3314,-58.0663,7.8,-34.3,0,0111147
4403532,2021-11-18T19:00:00Z,45.3297,-58.0648,7.8,-34.3,0,0111147
4403532,2021-11-18T20:00:00Z,45.3301,-58.0660,7.8,-34.3,0,0111147
4403532,2021-11-18T21:00:00Z,45.3332,-58.0710,7.8,-34.3,0,0111147
4403532,2021-11-20T22:00:00Z,45.3227,-57.6806,7.6,-34.3,0,0111147
4403532,2021-11-20T23:00:00Z,45.2954,-57.6854,7.6,-34.3,0,0111147
4403532,2021-11-21T01:00:00Z,45.2829,-57.6893,7.7,-34.3,0,0111147
4403532,2021-11-21T02:00:00Z,45.2720,-57.6924,7.7,-34.3,0,0111147
4403532,2021-11-21T03:00:00Z,45.2634,-57.6923,7.7,-34.3,0,0111147
4403532,2021-11-21T04:00:00Z,45.2550,-57.6901,7.7,-34.3,0,0111147
4403532,2021-11-21T05:00:00Z,45.2462,-57.6877,7.7,-34.3,0,0111147
4403532,2021-11-21T06:00:00Z,45.2374,-57.6831,7.7,-34.3,0,0111147
4403532,2021-11-21T07:00:00Z,45.2285,-57.6776,7.7,-34.3,0,0111147
4403532,2021-11-21T08:00:00Z,45.2206,-57.6732,7.7,-34.3,0,0111147
4403532,2021-11-21T09:00:00Z,45.2154,-57.6706,7.7,-34.3,0,0111147
4403532,2021-11-21T10:00:00Z,45.2126,-57.6661,7.7,-34.3,0,0111147
4403532,2021-11-21T11:00:00Z,45.2104,-57.6599,7.7,-34.3,0,0111147
4403532,2021-11-21T12:00:00Z,45.2090,-57.6527,7.7,-34.3,0,0111147
4403532,2021-11-21T13:00:00Z,45.2077,-57.6438,7.7,-34.3,0,0111147
