PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
4402663,2020-12-09T00:00:00Z,42.5460,-59.1780,,,0,6.7,-16.1,0.19,-0.18,17.48,0.5,313,15,0.228,0.534,01119971111171111
4402663,2020-12-09T00:00:00Z,42.5218,-59.1992,17.45,978.1,0,,,,,,,,,,,01111079999999999
4402663,2020-12-09T01:00:00Z,42.5570,-59.1670,,,0,6.6,-16.1,0.19,-0.17,17.55,0.5,313,15,0.244,0.39,01119971111171111
4402663,2020-12-09T01:00:00Z,42.5648,-59.1674,17.49,980.4,0,,,,,,,,,,,01111079999999999
4402663,2020-12-09T02:00:00Z,42.5700,-59.1550,,,0,13.6,-9.6,0.45,-0.68,17.65,0.5,313,15,0.245,0.371,01119971111171111
4402663,2020-12-09T02:00:00Z,42.5704,-59.1562,17.61,985.1,0,,,,,,,,,,,01111079999999999
4402663,2020-12-09T03:00:00Z,42.5770,-59.1600,,,0,13.6,-9.7,0.45,-0.69,17.72,0.5,313,15,0.164,0.409,01119971111171111
4402663,2020-12-09T03:00:00Z,42.5704,-59.1562,17.68,988,0,,,,,,,,,,,01111079999999999
4402663,2020-12-09T04:00:00Z,42.5840,-59.1620,,,0,13.6,-9.7,0.45,-0.69,17.8,0.5,313,15,0.084,0.448,01119971111171111
4402663,2020-12-09T04:00:00Z,42.5704,-59.1562,17.74,990.6,0,,,,,,,,,,,01111079999999999
4402663,2020-12-09T05:00:00Z,42.5910,-59.1670,,,0,13.1,-5.7,0.67,-0.59,17.88,0.5,313,15,0.003,0.487,01119971111171111
4402663,2020-12-09T05:00:00Z,42.5704,-59.1562,17.86,992.9,0,,,,,,,,,,,01111079999999999
4402663,2020-12-09T06:00:00Z,42.5980,-59.1710,,,0,13.1,-5.7,0.67,-0.59,17.95,0.5,313,15,-0.077,0.526,01119971111171111
4402663,2020-12-09T06:00:00Z,42.5704,-59.1562,17.93,994.3,0,,,,,,,,,,,01111079999999999
4402663,2020-12-09T07:00:00Z,42.6040,-59.1740,,,0,13,-5.7,0.67,-0.59,18.02,0.5,313,15,-0.158,0.564,01119971111171111
4402663,2020-12-09T07:00:00Z,42.6052,-59.1738,17.99,995.9,0,,,,,,,,,,,01111079999999999
4402663,2020-12-09T08:00:00Z,42.6230,-59.1810,,,0,12.4,-4.2,0.56,-0.25,18.05,0.5,313,15,-0.089,0.605,01119971111171111
