PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
4201703,2021-08-28T23:00:00Z,41.5110,-62.4930,,,0,12.9,-4.3,-0.06,-0.19,27.92,0.5,313,15,0.133,0.463,01119971111171111
4201703,2021-08-28T23:01:00Z,41.5113,-62.4928,27.93,1023.8,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T00:00:00Z,41.5250,-62.4870,,,0,-2.1,-9.6,-0.06,-0.19,27.9,0.5,312,15,0.141,0.422,01119971111171111
4201703,2021-08-29T01:00:00Z,41.5390,-62.4830,,,0,-2.1,-9.6,-0.06,-0.19,27.88,0.5,312,15,0.149,0.381,01119971111171111
4201703,2021-08-29T01:03:00Z,41.5404,-62.4830,27.89,1024.7,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T02:00:00Z,41.5490,-62.4760,,,0,-1.8,-7.5,-0.05,-0.18,27.85,0.5,312,15,0.172,0.335,01119971111171111
4201703,2021-08-29T02:01:00Z,41.5511,-62.4760,27.87,1024.7,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T03:00:00Z,41.5620,-62.4690,,,0,-1.8,-7.5,-0.05,-0.18,27.81,0.5,312,15,0.155,0.354,01119971111171111
4201703,2021-08-29T03:01:00Z,41.5613,-62.4682,27.83,1024.5,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T04:00:00Z,41.5700,-62.4640,,,0,-1.8,-7.5,-0.05,-0.18,27.77,0.5,312,15,0.106,0.296,01119971111171111
4201703,2021-08-29T04:03:00Z,41.5751,-62.4626,27.79,1024.5,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T05:00:00Z,41.5810,-62.4600,,,0,-2.6,-5.8,-0.03,-0.11,27.74,0.5,312,15,0.019,0.277,01119971111171111
4201703,2021-08-29T05:03:00Z,41.5793,-62.4594,27.75,1024.2,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T06:00:00Z,41.5910,-62.4600,,,0,-2.6,-5.8,-0.03,-0.11,27.72,0.5,312,15,-0.01,0.394,01119971111171111
4201703,2021-08-29T06:04:00Z,41.5917,-62.4613,27.72,1024,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T07:00:00Z,41.6060,-62.4600,,,0,-2.6,-5.8,-0.03,-0.11,27.72,0.5,312,15,-0.009,0.505,01119971111171111
4201703,2021-08-29T07:01:00Z,41.6059,-62.4612,27.73,1024,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T08:00:00Z,41.6250,-62.4600,,,0,-1.7,-5.6,-0.02,-0.07,27.69,0.5,312,15,0.034,0.564,01119971111171111
4201703,2021-08-29T09:00:00Z,41.6440,-62.4600,,,0,-1.6,-5.5,-0.02,-0.07,27.67,0.5,312,15,0.077,0.622,01119971111171111
4201703,2021-08-29T09:01:00Z,41.6440,-62.4618,27.68,1024.2,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T10:00:00Z,41.6640,-62.4560,,,0,-1.6,-5.5,-0.02,-0.07,27.65,0.5,312,15,0.164,0.624,01119971111171111
4201703,2021-08-29T10:01:00Z,41.6647,-62.4574,27.66,1024.8,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T11:00:00Z,41.6830,-62.4480,,,0,-1.7,-4.2,-0.02,-0.05,27.63,0.5,312,15,0.221,0.576,01119971111171111
4201703,2021-08-29T11:00:00Z,41.6846,-62.4487,27.63,1024.5,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T12:00:00Z,41.7020,-62.4380,,,0,-1.6,-4.2,-0.02,-0.05,27.63,0.5,312,15,0.254,0.525,01119971111171111
4201703,2021-08-29T12:00:00Z,41.7019,-62.4378,27.63,1024.5,0,,,,,,,,,,,01111179999999999
4201703,2021-08-29T13:00:00Z,41.7190,-62.4260,,,0,-1.6,-4.2,-0.02,-0.05,27.63,0.5,312,15,0.265,0.525,01119971111171111
4201703,2021-08-29T13:00:00Z,41.7192,-62.4273,27.62,1024.3,0,,,,,,,,,,,01111179999999999
