PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
4402656,2021-08-24T12:00:00Z,42.2700,-63.5420,,,0,4.9,8.7,0.08,0.16,22.57,0.5,213,15,0.347,-0.008,01119971111171111
4402656,2021-08-24T12:00:00Z,42.2706,-63.5428,22.58,1012.2,0,,,,,,,,,,,01111179999999999
4402656,2021-08-24T13:00:00Z,42.2690,-63.5280,,,0,4.9,8.8,0.08,0.16,22.55,0.5,213,15,0.338,-0.037,01119971111171111
4402656,2021-08-24T13:00:00Z,42.2686,-63.5278,22.55,1012,0,,,,,,,,,,,01111179999999999
4402656,2021-08-24T14:00:00Z,42.2690,-63.5140,,,0,5.5,7.1,0.08,0.16,22.61,0.5,213,15,0.32,0,01119971111171111
4402656,2021-08-24T14:00:00Z,42.2678,-63.5134,22.55,1012.3,0,,,,,,,,,,,01111179999999999
4402656,2021-08-24T15:00:00Z,42.2690,-63.5000,,,0,5.5,7.2,0.08,0.16,22.73,0.5,213,15,0.274,0.046,01119971111171111
4402656,2021-08-24T15:00:00Z,42.2692,-63.5004,22.68,1012.8,0,,,,,,,,,,,01111179999999999
4402656,2021-08-24T16:00:00Z,42.2710,-63.4880,,,0,5.5,7.2,0.08,0.16,22.87,0.5,213,15,0.24,0.077,01119971111171111
4402656,2021-08-24T16:00:00Z,42.2706,-63.4888,22.79,1012.9,0,,,,,,,,,,,01111179999999999
4402656,2021-08-24T17:00:00Z,42.2730,-63.4800,,,0,4.5,5.7,0.06,0.08,23.01,0.5,213,15,0.206,0.108,01119971111171111
4402656,2021-08-24T17:00:00Z,42.2736,-63.4794,22.95,1012.8,0,,,,,,,,,,,01111179999999999
4402656,2021-08-24T18:00:00Z,42.2770,-63.4710,,,0,4.5,5.7,0.06,0.08,23.06,0.5,213,15,0.183,0.093,01119971111171111
4402656,2021-08-24T18:00:00Z,42.2780,-63.4710,23.07,1012.5,0,,,,,,,,,,,01111179999999999
4402656,2021-08-24T19:00:00Z,42.2790,-63.4630,,,0,4.5,5.7,0.06,0.08,23.02,0.5,213,15,0.194,0.046,01119971111171111
